#separator:tab
#html:false
会出现胸壁压痛的病有	肋间神经炎 肋软骨炎 胸壁软组织炎 肋骨骨折 骨髓异常增生者常有胸骨压痛和叩击痛，见于白血病
用力呼气时肋间隙膨隆一般是什么病	大量胸腔积液 张力性气胸或严重慢性阻塞性肺病
扁平胸	胸廓扁平，前后径不到左右径的一半，见于瘦长体型者也可见于慢性消耗性疾病如肺结核
乳房视诊的4个要点	对称性 皮肤改变 乳头 腋窝和锁骨上窝
乳房对称性视诊	一般基本对称偶见正常轻微不对称。一侧明显增大见于先天畸形，囊肿形成，炎症或肿瘤。一侧明显缩小多因发育不全
乳房皮肤改变视诊要点	乳房检查时可以请患者双手举高皮肤发红伴红肿热痛提示局部炎症  皮肤深红无痛发展快，面积超过一个像限提示乳癌累及浅表淋巴管引起的癌性淋巴管炎 乳房水肿使毛囊和毛囊开口变得清晰可见见于乳腺癌和炎症 乳房皮肤回缩可由外伤或炎症导致。若无外伤史，乳房回缩常提示恶性肿瘤的存在
乳头视诊要点	乳头位置大小对称有无内陷有无分泌物 乳头回缩，若自小发生为发育异常，若近期发生则可能为病理改变如乳癌或炎症病变 乳头出现分泌物提示乳腺导管有病变，分泌物可能呈浆液性黄色绿色或血性 乳头出血常见于导管内乳头状瘤所引起也见于乳癌及乳管炎 乳晕色素沉着可能是肾上腺皮质功能减退
乳房腋窝和锁骨上窝视诊	有无包块红肿溃疡瘘管和瘢痕等
乳房触诊流程	被检查者坐，叉腰或举手 被检查者躺，枕头垫背 一般检查从左边乳房开始，左顺右逆由浅入深 若已知患侧，应从健侧开始。最后应该轻捏乳头 最后检查腋窝锁骨上窝以及颈部淋巴结是否肿大或其他异常 应该注意：有无红肿热痛和包块 乳头有无硬结，弹性消失和分泌物  物理体征1硬度和弹性2有无压痛3包块 部位大小外形硬度压痛活动度
乳房良性肿瘤和恶性肿瘤触诊感觉如何不同	良性表面光滑规整 恶性凹凸不平边缘固定
乳房常见病变	1急性乳腺炎 乳房红肿热痛 常局限于一侧乳房的某一象限。触诊有硬结包块，伴寒战发热及出汗等全身中毒症状，常发生于哺乳期妇女也见于青年女性和男子 2乳腺肿瘤 应区别良或恶  乳腺癌一般无炎症表现，多为单发并与皮下组织粘连，局部皮肤橘皮样改变乳头常回缩，多见于中年以上妇女，晚期伴腋窝淋巴结转移 良性肿瘤较柔或中硬，界限清楚并有一定活动度 常见有乳腺纤维瘤 男性乳房增生常见于内分泌紊乱 雌激素 肾上腺皮质功能亢进 肝硬化等
端坐呼吸可能病因	充血性心力衰竭 二尖瓣狭窄 重症哮喘（少见）
转卧或折身呼吸的可能病因	神经性疾病（少见） 充血性心力衰竭
平卧呼吸的可能病因	肺叶切除术后 神经性疾病 肝硬化（肺内分流） 低血容量
正常人呼吸频率	12-20次/分
正常人呼吸与脉搏比为	1比4
常见呼吸频率类型	呼吸过速 呼吸过缓 呼吸深度变化
呼吸过速	大于20次每分。发热疼痛贫血甲亢心衰等。体温升1呼吸增4次/分
呼吸过缓	小于12次/分。麻醉剂镇静剂过量和颅内压增高。
呼吸浅快	见于呼吸肌麻痹 严重鼓肠 腹水和肥胖等以及肺部疾病如肺炎胸膜炎，胸腔积液和气胸等
呼吸深快	剧烈运动，情绪激动，过度紧张，这时动脉血二氧化碳分压降低引起呼吸性碱中毒，患者口周肢端发麻，严重者手足抽搐呼吸暂停。 当严重代谢性酸中毒时也出现深快呼吸因为细胞外pH低通过呼吸排出CO2进行代偿。见于糖尿病酮中毒和尿毒症酸中毒等。（Kussnaul呼吸）
常见呼吸节律	1潮式呼吸2间停呼吸3抑制性呼吸3叹气样呼吸
潮式呼吸	潮式呼吸（Cheyne-Stokes respiration）又称陈-施呼吸，特点是呼吸逐步减弱以至停止和呼吸逐渐增强两者交替出现，周而复始，呼吸呈潮水涨落样。多见于中枢神经疾病、脑循环障碍和中毒等患者。潮式呼吸周期可长达30秒～2分钟，暂停期可持续5～30秒。
潮式呼吸常见疾病	脂肪栓塞综合征、狂犬病、扩张型心肌病、呼吸衰竭、老年人急性左心衰竭、脑膜炎球菌性脑膜炎等重症疾病的晚期。
比奥呼吸	间停呼吸又称Biots呼吸。表现为有规律的均匀呼吸几次后，停止一段时间，又开始均匀呼吸，即周而复始的间停呼吸。该呼吸与潮式呼吸不同，它每次呼吸深度相等，而非深浅起伏，呼吸暂停时间比潮式呼吸长，呼吸次数也明显减少，间停呼吸发生机制与潮式呼吸大致相同，但患者呼吸中枢抑制比潮式呼吸者更重、病情更严重，预后不良，多在呼吸完全停止前出现。引起间停呼吸的疾病与潮式呼吸大致相同。
导致间接停呼吸和比奥呼吸的原因	一般认为是呼吸中枢对二氧化碳的反应性降低，亦即呼吸中枢兴奋的阈值高于正常值。血中二氧化碳的分压低于能兴奋呼吸中枢的阈值，因而呼吸暂停。待血中二氧化碳分压超过正常水平达到阈值时，才能兴奋呼吸中枢，使呼吸恢复，经一阵呼吸后，血中二氧化碳分压又下降到阈值水平以下，呼吸中枢又停止活动，呼吸停止。
抑制性呼吸	抑制性呼吸是指胸部发生剧烈疼痛所致的吸气相突然中断，呼吸运动短暂地突然受到抑制的一种呼吸，患者表情痛苦，呼吸较正常浅而快。  常见于急性胸膜炎、胸膜恶性肿瘤、肋骨骨折及胸部外伤等。
叹气样呼吸	表现为一段正常呼吸节律中插入一次深大呼吸，并常伴有叹息声。见于神经衰弱、精神紧张或抑郁症。
胸廓扩张度测定	1.前胸廓扩张度的测定 检查者两手置于胸廓下面的前侧部，左右两拇指分别沿两侧肋缘指向剑突，拇指尖在前正中线两侧对称部位，而手掌和伸展的手指置于前侧胸壁。 2.后胸廓扩张度的测定 将两手平置于患者背部，约于第10肋骨水平，拇指与中线平行，并将两侧皮肤向中线轻推。嘱患者作深呼吸运动，观察比较两手的动度是否一致。
一侧胸廓扩张度增强常见疾病	见于对侧肺扩张受限，如对侧膈肌麻痹、肺不张或肋骨骨折
两侧胸廓扩张度均增强	多见于膈肌在吸气时向下运动障碍，使腹式呼吸减弱所致，如腹水、肝脾大、腹内巨大肿瘤、急性腹膜炎、膈下脓肿等。
一侧胸廓扩张度减弱	（1）肺部疾病div> （2）胸膜病变 （3）肋骨病变（4）胸壁软组织病变 （5）膈肌病变。
语音震颤检查顺序	前面 上 下 下外 下面 上 中 下 下外
语音震颤异常表现	(1) 凡能增强声波传至胸壁的病理情况下，皆可出现语颤增强，主要见于：肺组织实变：如大叶肺炎因肺组织有炎症性浸润而实变，肺泡含气量显著减少，传导介质变为均匀，声音传导良好，因之语颤增强。 　　(2) 凡任何阻碍声波传至胸壁者，均可引起语颤减弱或消失。主要见于：支气管阻塞，如阻塞性肺不张。
肺上界叩诊	肺上界：斜方肌前缘中央开始叩诊为请音，逐渐叩外侧，当清变浊为外侧终点。再扣外侧清变浊为内侧终点。 正常4到6cm
肺上界变狭窄或叩诊浊音指示	肺结核导致的肺尖浸润，纤维性病变及萎缩
肺上界变宽，叩诊呈过清音	慢性阻塞性肺疾病
胸膜摩擦音常见于	纤维素性胸膜炎、肺梗死、尿毒症、胸膜肿瘤、少量胸腔积液、严重脱水等疾病。
胸膜摩擦音在哪个部位最明显	胸壁前下外侧部
大叶性肺炎病理改变分期	1充血期2实变期3消散期
大叶性肺炎病原	肺炎链球菌
大叶性肺炎临床表现	1.起病急骤，寒战、高热、胸痛、咳嗽、咳铁锈色痰。病变广泛者可伴气促和发绀。 2.部分病例有恶心、呕吐、腹胀、腹泻。 3.重症者可有神经精神症状，如烦躁不安、谵妄等。亦可发生衰竭，并发感染性休克，称休克型（或中毒性）肺炎。 4.急性病容，呼吸急促，鼻翼煽动。部分患者口唇和鼻周有疱疹。 5.充血期肺部体征呈现局部呼吸活动度减弱，语音震颤稍增强，叩诊浊音，可听及捻发音。 实变期可有典型体征，如患侧呼吸运动减弱，语音共振、语颤增强，叩诊浊音或实音，听诊病理性支气管呼吸音；消散期叩诊逐渐变为清音，支气管呼吸音也逐渐减弱代之以湿性啰音。
大叶性肺炎症状	。患多为青壮年，常因受凉疲劳酗酒。起病快，先寒战，继高热，体温达39到40呈现稽留热。 头痛全身肌肉酸痛患侧胸痛呼吸快咳嗽，痰锈铁色，数日后体温剧降伴大量出汗并好转
慢性阻塞性肺疾病临床表现	1.症状 （1）慢性咳嗽常为最早出现的症状，随病程发展可终身不愈，常晨间咳嗽明显，夜间有阵咳或排痰。当气道严重阻塞，通常仅有呼吸困难而不表现出咳嗽。 （2）咳痰一般为白色黏液或浆液性泡沫痰，偶可带血丝，清晨排痰较多。急性发作期痰量增多，可有脓性痰。 （3）气短或呼吸困难慢性阻性肺疾病的主要症状，早期在劳力时出现，后逐渐加重，以致在日常生活甚至休息时也感到气短。但由于个体差异常，部分人可耐受。 （4）喘息和胸闷部分患者特别是重度患者或急性加重时出现的。 （5）其他疲乏、消瘦、焦虑等常在慢性阻塞性肺疾病病情严重时出现，但并非慢性阻塞性肺疾病的典型表现。 2.体征 （1）视诊胸廓前后径增大，肋间隙增宽，剑突下胸骨下角增宽，称为桶状胸，部分患者呼吸变浅，频率增快，严重者可有缩唇呼吸等。 （2）触诊双侧语颤减弱。 （3）叩诊肺部过清音，心浊音界缩小，肺下界和肝浊音界下降。 （4）听诊双肺呼吸音减弱，呼气延长，部分患者可闻及湿性啰音和（或）干性啰音。
慢性阻塞性肺疾病症状	（1）慢性咳嗽常为最早出现的症状，随病程发展可终身不愈，常晨间咳嗽明显，夜间有阵咳或排痰。当气道严重阻塞，通常仅有呼吸困难而不表现出咳嗽。 （2）咳痰一般为白色黏液或浆液性泡沫痰，偶可带血丝，清晨排痰较多。急性发作期痰量增多，可有脓性痰。 （3）气短或呼吸困难慢性阻性肺疾病的主要症状，早期在劳力时出现，后逐渐加重，以致在日常生活甚至休息时也感到气短。但由于个体差异常，部分人可耐受。 （4）喘息和胸闷部分患者特别是重度患者或急性加重时出现的。 （5）其他疲乏、消瘦、焦虑等常在慢性阻塞性肺疾病病情严重时出现，但并非慢性阻塞性肺疾病的典型表现。
慢性阻塞性肺病体征	（1）视诊胸廓前后径增大，肋间隙增宽，剑突下胸骨下角增宽，称为桶状胸，部分患者呼吸变浅，频率增快，严重者可有缩唇呼吸等。   （2）触诊双侧语颤减弱。 （3）叩诊肺部过清音，心浊音界缩小，肺下界和肝浊音界下降。 （4）听诊双肺呼吸音减弱，呼气延长，部分患者可闻及湿性啰音和（或）干性啰音。
COPD病因	可以分为外因（即环境因素）与内因（即个体易患因素）两类。外因包括吸烟、粉尘和化学物质的吸入、空气污染、呼吸道感染及社会经济地位较低的人群（可能与室内和室外空气污染、居室拥挤、营养较差及其他与社会经济地位较低相关联的因素有关）。内因包括遗传因素、气道反应性增高、在怀孕期、新生儿期、婴儿期或儿童期由各种原因导致肺发育或生长不良的个体。
胸腔积液病因	胸膜毛细血管内静水压增高（如充血性心力衰竭）、胸膜通透性增加（如胸膜炎症、肿瘤）、胸膜毛细血管内胶体渗透压降低（如低蛋白血症、肝硬化），壁层胸膜淋巴回流障碍（如癌性淋巴管阻塞）以及胸部损伤等，均可引起胸腔积液，按其发生机制可分为漏出性胸腔积液和渗出性胸腔积液两类。
胸腔积液体征	纤维素性胸膜炎的患者可听到胸膜摩擦音或触及胸膜摩擦感。中、大量积液时，可见患侧呼吸运动受限，呼吸浅快，肋间隙丰满，气管向健侧移位，患侧语音震颤减弱或消失，积液区上方呼吸音增强，有时可听到支气管呼吸音。
胸腔积液症状	（1）胸闷和呼吸困难 积液较少（少于300ml）时症状多不明显，但急性胸膜炎早期积液量少时，可有明显的胸痛，于吸气时加重，患者喜患侧，当积液增多时胸膜脏层和壁层分开，胸痛可减轻或消失。中、大量胸腔积液（大于500ml）时，可出现气短、胸闷、心悸，呼吸困难，甚至端坐呼吸并伴有发绀。 （2）原发病症状 如结核病所致胸腔积液者可有低热、乏力、消耗等结核中毒症状；心力衰竭患者有心功能不全的症状；肺炎相关性胸腔积液和脓血常有发热和咳嗽咳痰；肝脓肿者有肝区疼痛。
气胸病因	诱发气胸的因素为剧烈运动，咳嗽，提重物或上臂高举，举重运动，用力解大便和钝器伤等。当剧烈咳嗽或用力解大便时，肺泡内压力升高，致使原有病损或缺陷的肺组织破裂引起气胸。使用人工呼吸器，若送气压力太高，就可能发生气胸。
气胸体征	少量不明显。多时，1患侧胸廓饱满肋间隙变宽呼吸动度减弱；2语音共振及语音震颤减弱或消失；3气管心脏移向健侧；4叩诊鼓音；5右侧气胸时肝浊音下移；6听诊患侧呼吸音减弱或消失。
气胸症状	一侧胸痛，进行性呼吸困难，否平卧或迫健卧，患上以缓解。咳嗽但无或少痰 少量闭合性气胸有轻度气急，数小时后平稳。 大量张力气胸，严重呼吸困难，表情紧张，烦躁不安，大汗淋漓，脉速虚脱发绀甚至呼吸衰竭
心尖搏动位置	坐位时，心尖搏动一般位于第5 肋间左锁骨中线内0 . 5 ~1 .0cm 处，搏动范围直径约2 . 0 ~2 .5cm 。
听诊5个区	1二尖瓣区2肺动脉瓣区3主动脉瓣区4主动脉瓣第二听诊区5三尖瓣区
二尖瓣听诊区	锁骨中线第5肋间隙内侧0.5到1cm
主动脉瓣区	胸骨右缘第二肋间隙
肺动脉瓣听诊区	胸骨左缘第2肋间
主动脉瓣第二听诊区	胸骨左缘第3肋间
三尖瓣听诊区	胸骨下端左侧 胸骨左缘第45肋间隙
正常心率范围	正常成人安静60到100
心房颤动听诊特点是	心律绝对不规则
