#separator:tab
#html:false
少牙（对称性）常见位置	第三磨牙、上颌恒侧切牙；下颌第二前磨牙			
额外牙常见于	最常见于上颌前牙区，其次磨牙区 多单发：正中牙（mesiodens）——最常见			
双生牙（gemination）	一个牙胚不完全分开而形成，可见两个牙冠，有一个共同的牙根和根管。牙的数目正常。			
融合牙（fusion）	两牙胚融合在一起发育而成。融合部的牙本质是相连的。牙数目减少。			
结合牙（concrescence）	指两个发育中的牙或发育完成后受创的牙借增生的牙骨质结合在一起。			
畸形舌侧尖多见于	恒上侧切牙			
畸形中央尖多见于	下颌第二前磨牙			
牙冠牙内陷——畸形舌侧窝多见于	上颌侧切牙			
釉珠最常见于	上颌磨牙，下颌磨牙次之，也可见于乳牙。			
颈部釉质延伸（cervicalenamelextension）常见于	下颌磨牙			
Turner 牙(Turner teeth)概念	与乳牙有关的感染或创伤引起的继生恒牙成釉细胞损伤，导致其发育缺陷。			
Turner 牙 (Turner teeth)常见于	上、下颌前磨牙及上颌侧切牙。			
先天性梅毒牙（congenitalsyphilis）常见于	恒切牙（Hutchinson牙）、第一恒磨牙（桑葚牙）			
{{c1::image-occlusion:rect:left=.2962:top=.4584:width=.2066:height=.0717:oi=1}} {{c2::image-occlusion:rect:left=.4186:top=.7187:width=.2011:height=.0779:oi=1}} {{c3::image-occlusion:rect:left=.4186:top=.8552:width=.0731:height=.0749:oi=1}}				
氟牙症：牙弓上{{c1::对称性地发生}}，主要见于{{c1::恒}}牙列				
氟斑牙见于	前磨牙、上颌切牙、第二磨牙受到的影 响最大，尖牙、第一磨牙、下颌切牙依此递减			
先天性梅毒牙侵犯切牙称	哈切森牙（Hutchinson teeth）			
水流围绕圆石	I型牙本质结构不良			
引发四环素牙时期 胚胎{{c1::29}}周致胎儿出生之间任何时候摄入药物 出生至{{c1::8}}岁之间摄入				
先天性梅毒牙感染恒中切牙称{{c1::Hutchinson牙(螺丝样)}}。感染第一恒磨牙称{{c1::桑葚牙}}				
釉质形成缺陷症：形成不全型	普遍性凹陷:针头大小凹陷,可伴色素沉着			
釉质形成缺陷症：成熟不全型 色素沉着型:{{c1::釉质软,探针可刺人:}} :雪帽型:{{c1::切1/3~1/4釉质白色不透光}}				
牙本质形成缺陷症Ⅱ型（遗传性乳光牙本质） 近釉质的{{c1::罩牙本质}}正常;牙本质小管{{c1::数目减少,方向紊乱}};牙本质基质{{c1::颗粒状}},小球间钙化;牙本质细胞包埋在牙本质中,牙本质中可见血管;釉牙本质线呈{{c1::直线}} 壳状牙概念:釉质厚度正常,髓腔{{c1::大}},牙本质{{c1::薄}}呈壳状围绕髓腔的牙,				
牙本质结构不良II型	冠部牙本质结构不良			
胎生牙	为出生时即已萌出的牙。			
四环素牙 牙本质生长线有{{c1::黄色}}的色累条带,紫外线下条带显示{{c1::为明亮的黄色荧光}} 四环素在牙本质中沉积比在牙釉质中要高{{c1::4}}倍 四环素色素是沿{{c1::生长线}}沉着于牙本质内 妊娠期{{c1::29周}}至出生影响乳牙;出生至{{c1::8岁}}影响恒牙				
{{c1::image-occlusion:rect:left=.2047:top=.1672:width=.625:height=.1517:oi=1}} {{c2::image-occlusion:rect:left=.1938:top=.3595:width=.6612:height=.1418:oi=1}} {{c3::image-occlusion:rect:left=.192:top=.557:width=.7717:height=.3898:oi=1}}				
龋病概念	龋是一种牙硬组织的感染性疾病,是在以细菌为主的多因素作用下,牙体无机物脱矿,有机物分解而导致牙硬组织发生慢性进行性破坏的一种疾病。			
龋病常见于	恒牙:下颌第一磨牙、下颌第二磨牙、 乳牙:下颌第二乳磨牙、上颌第二乳磨牙、			
导致龋病细菌	链球菌属、乳杆菌属、放线菌属			
菌斑	未矿化的细菌性沉积物,由细菌、唾液糖蛋白和细菌细胞外多糖(主要是葡聚糖、果聚糖)构成的菌斑基质组成,其中还含有少量脱落上皮细胞、白细胞、食物残渣等。			
龋病分类按进展速度	急性龋(acute caries) 慢性龋(chronic caries) 静止龋(arrested caries)			
龋病分类按侵袭部位	窝沟龋 平滑面龋 根龋			
龋病分类按破坏程度	浅龋:点隙窝沟,无明显龋洞 中龋:达牙本质浅层 深龋：病变接近牙髓			
龋病分类按原发或修复后再发	初发龋 继发龋			
1.平滑面龋(smooth surface caries）见于	见于牙邻接面接触点下方、颊舌面近龈缘牙颈部			
釉质早期平滑面龋纵磨片显示为病损呈{{c1::  三角形,三角形的 }}顶部向着{{c1::  釉质牙本质界 }},基底部向着{{c1::  釉质表面 }}				
(1)透明层（釉质龋）	釉质龋最初的表现 釉质轻度脱矿造成,呈透明状 约见50%的病变 孔腺容积约为1%			
(2)暗层	紧接透明层,脱矿、再矿化 见于85 %~90%的中病变中 孔隙容积为2%~4%,			
(3)病损体部	龋病变的主要部分,见于所有病损 横纹和生长线明显 孔腺容积在边缘处釉质容积5%,至中心区可达25%。			
(4)表层	位于釉质龋最表面,相对完整 表层有再矿化的存在 孔腺容积约占釉质体积5%。			
获得性薄膜(acquired pelicle)	又称唾液薄膜(salivary pelicle),由唾液糖蛋白选择性吸附于牙面而形成的生物膜			
窝沟龋(pit and fisaure caries)  从{{c1::窝沟侧壁}}开始,沿{{c1::釉柱排列}}方向向深部发展,超过{{c1::窝沟底部}}时相互融合 也是三角形,其层次同平滑面龋但基底部向着{{c1::釉质牙本质界}},顶部向着{{c1::窝沟壁}}。 最终形成{{c1::口小底大的潜行性龋}}				
牙本质龋(dentine'caries)：透明层(translucent zone)	为牙本质最深层、最早出现的改变  由于牙本质小管管腔变窄,管腔中有矿物盐沉积，呈现透明状  表现为一定程度的脱矿,只是再矿化大于脱矿			
（2）脱矿层(zone of denineralization)	位于透明层表面  管内基本上无细菌侵入  此层有死区,表现为暗黑色不透光,有色素沉着  在临床备洞时应去除			
(3)细菌侵入层(bacterial invasion)	位于脱矿层表面 小管呈串珠状 坏死区也可和小管垂直形成横向裂隙			
(4)坏死崩解层(zone of destruction)	位于最表层			
(三)牙骨质龋	多发生于牙龈萎缩、牙骨质暴露			
牙髓炎	细菌:最主要因素			
