#separator:tab
#html:false
贝尔征	面神经炎，闭眼时，患侧眼球外上方运动，露出白色巩膜
Hunt综合症	面神经炎膝状神经节损害（面神经炎相关症状➕唾液腺泪腺分泌障碍、听觉过敏、耳后剧烈疼痛、鼓膜外耳道疱疹）
吉兰-巴雷综合征	酶免疫介导的周围神经病，损害多数脊神经根和周围神经，也常累及脑神经 起病急，多在两周到达高峰 表现为多发神经根及周围神经损害，常有脑脊液蛋白细胞分离现象 呈单时相自限性病程 静脉注射免疫球蛋白或血浆置换有效
吉兰-巴雷综合征临床表现	特点：单相病程、病程中有波动流行病学：任何年龄、任何季节 病史：前1～3周常有上感史 病程：2周左右到达高峰 首发症状（运动功能异常）：肢体对称性迟缓性肌无力 感觉功能异常：较轻，手套袜套样分布，常有腓肠肌压痛 脑神经：双侧面神经麻痹 自主神经功能障碍：皮肤潮红、出汗、心动过速、心律失常
吉兰-巴雷综合征的诊断标准	特点：病程自限性 病史：前驱感染史 病程：急性起病、进行性加重、2周达高峰 运动功能：对称性迟缓性肌无力、四肢腱反射减弱或消失 感觉功能：轻度感觉异常 脑神经：面神经麻痹 自主神经：有自主神经功能障碍 脑脊液检查：蛋白细胞分离 电生理检查：远端运动神经传导下降（潜伏期延长、传导速度慢、传导阻滞）
吉兰-巴雷综合征的治疗	一般治疗：抗感染、营养支持、  呼吸道管理（呼吸肌无力）、 对症治疗及并发症治疗 免疫治疗：免疫球蛋白静注（IVIG）、血浆置换（PE）、糖皮质激素 神经营养：B族维生素 康复治疗：病情稳定后，早期康复治疗
偏头痛	常见的原发性头痛 特点为发作性、多为偏侧、中重度、搏动样疼痛、伴恶心 日常活动可加剧  持续4～72h    安静、休息缓解
从集性头痛	原发性神经血管性头痛 特点为一侧眼眶周围发作性剧烈疼痛、反复密集发作 伴同侧眼部症状（结膜充血、眼睑下垂、瞳孔缩小）和面部出汗增多等自主神经症状 一天内固定时间发作，持续数周至数月
无先兆偏头痛的诊断标准	1⃣️符合2-4特征的至少5次发作 2⃣️头痛持续4～72h 3⃣️至少下列2项头痛特点：单侧性、搏动性、中或重度头痛、日常活动加重头痛 4⃣️头痛中伴有下列1项：恶心呕吐、畏光畏声 5⃣️不能归因于其他疾病，无器质性疾病
有先兆偏头痛的临床表现	1、发作前常以可逆的局灶性神经系统症状为先兆、视觉先兆最常见 2、头痛在先兆同时或先兆后60分钟内发生 3、伴有恶心呕吐、畏光畏声、苍白出汗、疲劳感等 4、活动可使头痛加重、睡眠缓解  5、头痛持续4-72h，消退后仍有疲劳倦怠感、烦躁、无力等
偏头痛的治疗	1、目的：减轻或终止头痛发作，缓解伴发症状，预防头痛复发 2、发作期治疗：症状起始时立即服药 （1）轻中度：单用NSAIDs类，无效用偏头痛特异性治疗药物 （2）中重度：直接用偏头痛特异性药物如麦角类和曲普坦类药物 （3）伴随症状：恶心呕吐用止吐剂（甲氧氯普胺），严重呕吐用小剂量氯丙嗪，烦躁用苯二氮卓类 3、预防性治疗：小剂量单药开始，缓慢加量至合适剂量，持续6个月后缓慢减药（B阻、CCB、抗抑郁药、抗癫痫药、5-HT受体拮抗剂）
脑梗死与脑出血的鉴别	发病年龄 发病时状态 发病速度 全脑症状：轻或无/头痛呕吐嗜睡 意识障碍：无或较轻/多见且较重 神经体征：非均等性偏瘫/均等性偏瘫 CT：低密度/高密度 脑脊液
脑梗死的治疗	1、原则：挽救缺血半暗带、避免或减轻原发性脑损伤、有指征尽快再灌注 2、一般治疗：吸氧通气、体温、血压控制、心脏检测和病变处理、血糖、营养支持 3、特异性治疗： （1）rtPA静脉溶栓：3h内或3-4.5h，最主要措施 （2）尿激酶静脉溶栓：没有rtPA，且6h内 （3）抗凝 （4）抗血小板 （5）血管内介入 （6）扩容 （7）脑保护治疗 4、急性期并发症处理 5、早期康复治疗 6、早期开始二期预防
rtPA溶栓的适应证和禁忌证	适应证： 1、症状出现＜3h 2、年龄大于等于18 3、有急性脑梗死导致的神经功能症状 4、知情同意书 禁忌证： 1、多叶脑梗死 2、高血压 3、出血/止不住血5    既往有颅内出血、急性出血倾向、活动性内出血、可以蛛网膜下腔出血、1周内在不易压迫止血的部位穿刺 4、颅内肿瘤、动静脉畸形、动脉瘤 4、近3个月有颅脑外伤史/卒中史 5、血糖＜2.7mmol/L
脑出血的治疗	1、治疗原则：卧床休息、降低颅内压、调整血压、防止继续出血、预防并发症，以达到挽救生命、降低死亡率残疾率和减少复发 2、一般治疗 3、降低颅内压（甘露醇脱水） 4、调整血压（不宜过快） 5、止血（针对性给止血药物） 6、加强护理防治并发症 7、外科治疗（严重脑出血危及生命，内科无效，在6～24h内） 8、康复治疗
脑出血的外科治疗	严重出血危及生命时手术治疗：去骨瓣减压术、小骨窗开颅血肿清除术、钻孔血肿抽吸术、脑室穿刺引流术  手术指征：发病后6～24h内 1、基底核区中等量以上出血（壳核大于等于30、丘脑大于等于15） 2、小脑出血大于等于10ml或直径大于等于3cm，或合并明显脑积水 3、重症脑室出血 3、合并脑血管畸形、动脉瘤等血管病变
蛛网膜下腔出血与脑出血鉴别	发病年龄 常见病因 起病速度 血压：正常或增高/显著增高 头痛 昏迷：一过性/持续性 局灶体征：无，但有脑膜刺激征/有 眼底：玻璃体膜下片装出血/视网膜出血 CT 脑脊液
DSA的适应证与禁忌证	1、适应证： 脑血管病的诊断和疗效随访 肿瘤的血供情况 头面颈部的血管性病变 2、禁忌证： 患者生命体征不稳、一般情况较差、休克或濒死状态； 全身感染未控制； 严重高血压未控制； 严重出血倾向； 对造影剂过敏 肝、肾、肺功能障碍
MND	运动神经元病 上下运动神经元损害为突出表现 上下运动神经元损害的组合，肌无力、肌萎缩、延髓麻痹、锥体束征 感觉系统和括约肌不受累
AD	阿尔茨海默病 认知功能障碍和行为损害为主要特征的中枢神经退行性病变 认知障碍、失语、失认、失用、抽象思维、人格行为改变 老年人最常见痴呆类型
单纯疱疹病毒性脑炎的特征	1、急性坏死性脑炎，为CNS最常见的感染性疾病 2、病理改变：脑组织水肿、软化、出血、坏死，神经细胞和胶质细胞核内可见嗜酸性包涵体，内有疱疹病毒的颗粒和抗原 3、受累部位：大脑双侧均可受累，不对称分布，颞叶内侧、边缘系统和额叶眶面最明显，也可累及枕叶  4、90%以上由HSV-1引起，未经治疗者死亡率＞70%
HSE的临床表现	1、流行病学：任何年龄均可发病，无季节性，潜伏期2-21天 2、病史：前驱期有发热、全身不适、头痛、肌肉痛、嗜睡、腹泻等 3、病程：急性起病，病程1-2月 4、首发症状为精神行为异常：人格改变、记忆力定向力障碍 5、神经功能受损：偏瘫偏盲、共济失调 6、意识障碍：嗜睡、昏迷等 7、癫痫发作 8、肌张力增高、腱反射亢进 9、脑膜刺激征 10、颅内压升高、脑疝
HSE的诊断	临床诊断： 1、发病：前期上感史症状，起病急、病情重  2、皮肤疱疹：口唇或生殖道疱疹史、或皮肤黏膜疱疹  3、脑实质损害：精神异常、意识障碍等 4、头颅CT/MRI：颞叶局灶性出血软化灶 5、脑脊液检查：RBC、WBC增多，糖氯化物正常 6、脑电图 7、诊断性治疗：特异性抗病毒药治疗有效  确诊所需其他检查： 1、脑脊液PCR：发现病毒DNA 2、脑组织活检：见病毒包涵体  3、分离培养：脑组织或脑脊液  4、血清学：抗HSV特异性抗体显著变化
HSE治疗	1、抗病毒治疗：阿昔洛韦、更昔洛韦 2、糖皮质激素：病情危重、头颅CT见出血性坏死灶及WBC/RBC显著增多使用，可以减轻炎症反应和水肿 3、对症治疗：保持呼吸道畅通、预防呼吸道感染，营养支持，高热降温、抽搐抗痉、精神错乱用安定、高颅压脱水
化脓性脑膜炎、结核性脑膜炎、病毒性脑膜炎三者脑脊液的鉴别诊断	压力、外观、凝固、蛋白质、糖、氯化物、细胞、细菌
MS的诊断	1、10～50岁 2、缓解复发交替，每次发作24h以上，或呈缓慢进展方式病程至少1年 3、神经系统白质内同时存在两处以上的病灶 4、排除其他病因
MS的治疗	1、急性发作期治疗：大剂量甲泼尼龙冲击治疗、静注大量免疫球蛋白 2、疾病免疫修饰治疗：调节免疫、控制炎症、预防复发 3、对症治疗
MS	多发性硬化 是一种免疫介导的神经系统慢性炎性脱髓鞘性疾病 最常见于脑室周围，近皮质、视神经、脊髓、脑干和小脑 临床特点为空间多发性和时间多发性
CIS	临床孤立综合征 因首次发生的中枢神经系统脱髓鞘事件所导致的一系列临床综合征，既可表现为孤立的视神经炎、脑干脑炎、脊髓炎等，也可出现多部位受累的复合临床表现
帕金森的病理特征	两大病理特征 1、黑质致密区多巴胺能神经元及其他含色素的神经元大量变性丢失 2、残留的神经元胞质内出现嗜酸性包涵体
