#separator:tab
#html:false
诊断学概念	诊断学是研究诊断疾病的基本理论、基本技能和临床思维方法的课程。
问诊	问诊是医师通过与患者或有关人员交谈，借以了解疾病的发生发展、诊疗过程以及患者既往健康情况，从而提出临床判断的一种诊断方法。
常见症状	患病时机体功能发生异常，患者主观感觉到的异常和不适，称为症状。
体格检查	医师运用自己的感官或借助于简单的检查工具对患者进行检查，称为体格检查
检体诊断	通过体格检查来收集资料，认识疾病的诊断方法，称为检体诊断。
体征	体格检查时的异常发现，称为体征。
检体诊断的基本方法:	视诊、触诊、叩诊、听诊和嗅诊
病历	是医务人员在医疗活动过程中形成的文字、符号、图表、影像、切片等医疗资料总和，包括门（急）诊病历和住院病历。
学习诊断学的方法:	1. 善于同患者交往 2. 温故而知新 3. 重视临床实践，提高动手能力 4. 反复实践，精益求精，逐步提高 5.逐步建立、完善正确的临床思维
发热定义	发热指机体在致热原的作用下，体温调节中枢的调定点上移而引起产热增加和（或）散热减少，出现调节性体温升高（超过正常范围0.5℃）。
发热的临床分度	口腔温度在37.3℃以上，可认为有发热。 ①低热：37.3℃~38.0℃②中等度热：38.1℃~39.0℃③高热：39.1℃~41.℃；④超高热：41.0℃以上
腋下温度	擦干腋窝，将温度计的水银柱甩到35℃以下，水银端放患者腋窝处，嘱咐患者用上臂将温度计夹紧，放置10分钟后读数。正常值为36℃~37℃。腋测法较安全、方便，不易发生交叉感染。
口腔温度	将消毒过的口腔温度计（oral thermometer，简称口表）的水银柱甩到35℃以下，水银端置于舌下，紧闭口唇，不用口腔呼吸，以免冷空气进入口腔，影响口腔内的体温，测量5分钟后读数。正常值为36.3℃℃~37.2℃℃。此方法准确且方便，测量前避免喝热水或冷水以免影响测温准确性，婴幼儿及意识障碍者不宜使用。
肛门温度	患者取侧卧位，将直肠温度计（rectal thermometer,简称肛表）的水银柱甩到35℃以下，肛表水银端涂以润滑剂，徐徐插入肛门，深达肛表的一半为止，放置5分钟后读数。正常值为36.5℃~37.7℃。肛门温度一般较口腔温度高0.3℃~0.5℃。适用于小儿及神志不清的患者。
头痛	是指局限于头颅上半部的疼痛（包括眉弓、耳轮上缘和枕外隆突连线以上），主要有额、顶、颞及枕部的疼痛。
胸痛	主要是指颈部与上腹之间的不适或疼痛，主要由胸部疾病引起。
